vowel,F1,F2,filename
a,881.8732135701943,1494.5038032989842,a_0.wav
a,619.740436686874,1408.7211034320285,a_1.wav
a,638.2340631413873,1431.653919625621,a_2.wav
a,633.0132018714309,1403.4756190153942,a_3.wav
a,665.1324025710358,1404.4947288502378,a_4.wav
a,669.9722169821404,1497.4990856601817,a_5.wav
a,770.4645126010106,1512.8473523350915,a_6.wav
a,712.193555087871,1456.8045120275715,a_7.wav
a,720.4478427517445,1506.170167435704,a_8.wav
a,717.4207716268097,1527.5163770099484,a_9.wav
a,581.9276567956348,1670.645184256473,a_10.wav
a,628.3255459574175,1607.121230241129,a_11.wav
a,619.3733305023964,1696.086294049371,a_12.wav
a,778.5321346331388,1624.296543160707,a_13.wav
a,594.9155562912908,1726.5762834256093,a_14.wav
e,462.23308635307217,1678.266710313702,e_15.wav
e,512.3083063628354,1760.4532996399166,e_16.wav
e,416.3973135820644,2086.397314298995,e_17.wav
e,489.6495778650867,2064.7320643911803,e_18.wav
i,324.4497471756476,2222.30092994548,i_19.wav
i,361.7592585389072,2282.863116085384,i_20.wav
i,305.92001570131384,2310.262338866972,i_21.wav
i,340.92279253127674,2470.8561382210137,i_22.wav
i,321.6160813654932,2277.5518897477896,i_23.wav
i,336.80182619832726,2329.764913669493,i_24.wav
i,334.99993501388104,2368.618818964817,i_25.wav
i,351.74066944435964,2350.282124975602,i_26.wav
i,337.2593621024813,2390.4044619524498,i_27.wav
i,415.11849348883993,2418.210977331947,i_28.wav
e,430.2530655880828,2138.348041967413,e_29.wav
e,524.4370136524301,1926.0770167619296,e_30.wav
u,356.75390492709164,1490.8930738585204,u_31.wav
u,358.8085632435008,1819.3333340273205,u_32.wav
u,354.0256022074577,1558.0604118188053,u_33.wav
u,299.843518446328,1338.5747563470093,u_34.wav
e,418.5868119280413,2194.034902074537,e_35.wav
u,294.3384242396368,1378.500686291383,u_36.wav
e,427.1198016107053,1928.1403728269383,e_37.wav
u,352.08305710826346,995.2880655616304,u_38.wav
e,515.2615899953091,1807.8151049076307,e_39.wav
u,341.55972980946257,960.5808035136744,u_40.wav
